我明白了	明白就好～
我们应该充分利用我们的时间	你真是天才啊能想出这样的问题嘛
我们应节省不必要的开支	我怀疑你的真实动机呀
你们也许听说过控制人口出生的措施	你太有意思了啦
停顿一下之后他继续说他的	为什么要停顿呢
你知道我是个很和善的人	天机不可泄露，等等吧
他不敢告诉我们他的恶行	送回宋朝，希望小玲把箭头带回现代，阻止圣母的恶行
我可以用很好的英语来表达自己的观点	我可以说不行吗
我要为我的房子置办家具	亲爱的，悄悄地告诉我你在哪个城市
看情形似乎没有出路了	那该怎么办
这是迄今为止我经历的最热的一天	你是我最喜欢的人啦
史密斯老师负责该班	史密斯老师负责该班
史密斯先生在一所学校教英语	外教呐
我们当中没有一个人害怕困难	不要迷恋姐，姐只是个传说喔
我们学校在北京的东部	呵呵，看来你挺了解的，那你给我详细说说呗
她真希望今天早上她的闹钟响了	恩，然后呢
她教外国学生汉语	汉语博大精深
这个问题将在今晚解决	妥妥滴哇
相对于我的身高来说体重太重了	有体重指数可以衡量的哦
李太太的厨房里有老鼠	可怕的老鼠
没有人不想发财	呵呵哒，可以理解呀
电视上会有一些体育评论	那是弹幕呀亲，右下角有关闭的按钮的，你不知道哪个就用鼠标移上去，就知道那个按钮叫什么了
这家公司是我们的老客户	你是我的小丫小苹果呢
这是他诗作的一个好例子	说啥好呢其实很为难啦
我们所阅读的书本会影响我们的思想	我现在只想和你聊天啦
无法用语言形容我当时的感受	我也没法感同身受
你确实对流行音乐很有欣赏力	我确实太爱你了，我自己都受不了喔
手艺差的工人总是抱怨工具不好使	5由于她是独女，父母对她总是百依百顺
你能适应新的工作吗	你是孙猴子派来的救兵么
计算机出错吗	当然程序还是有好多容易出错的地方，比如数字的长度，当长度超过计算机能处理的长度时就会出错，但是这种错误在设计时都被禁止了，比如你最多智能输入32位长度的数字
不必为后果忧虑不安	我没有啦，谢谢你
即使小孩儿都能回答这个问题	哈哈，那我也会
他脑子里尽足奇思怪想	我已经想很久了，只能说，我尽力了哇
他是公认的傻瓜	嘿嘿，最喜欢别人叫我小笨蛋啦～萌萌哒
他双臂交叉于胸前的坐在那里	这种姿势可不好
他为我们树立了一个好榜样	我们应该向他学习
他的蛋糕是我的四倍大	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
我不管天会不会下雨	亲爱的，那你想干嘛呢
我和我姐姐有很多相同之处	一定要好好的沟通，沟通的时候也讲究方法讲究策略吔
我还没有碰到你的牙齿呢	我现在有点喜欢你了，怎么办啦
盼迅速答复	没有回答，要什么自行车呀～
无论从哪方面来看这都是一本优秀的小说	少年这就是为什么，看的小说越多，越觉得他们低级的原因因为其中，他们想要表现的情感太过单一而一致人看久了会累的
很明显是猫偷吃的	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
除了死之外什么也拆不散这一对	至死不渝
现在她脸色难看好像病了一样	你真是天才啊能想出这样的问题嘛
她在这次意外中受到重伤	天哪，还好嘛
秘密在人群当中传播开来	什么样的秘密
这兄弟俩看上去很相像	好兄弟，一辈子呢
他们的兴趣是听别人说话	我爱你，爱着你，就像老鼠爱大米嘛
超市里有一个布告	什么布告
这个与那个无法比较	你欺负人，我不依了
样样通样样松	意思是每一样都知道，但是都不精通
说实话我不喜欢迪斯科	实话总是伤人的呀
真与假含义完全相反	就像开关一样对吗
上大学有何用	可以让你显著提升能力
我们可以在哪里提出保险赔偿这个无法与那个比较	你要用心去感受，才可以感受的到哦
为什么不让我去接你呢	为什么呢，我的思绪在飞呀
你为什么不去参加一个有氧健身班呢	人家现在还小，有什么得罪你的地方，请多包涵吔
一举两得	岂止一举两得然后拿上钱请妹子吃饭了嘛
不管你是谁都不能进去	我不进去
你应该把这些词背熟	好吧，你说应该就应该呐
这两张票给我行不行	听到不行，感觉有点坏
他得照顾他生病的母亲	真的么
他雇用了一个工人修理围墙	特朗普吗
我无法使这部机器正常运转	嗯，我跟你一样呢，看来在这点上咱们还是很有共同语言的
我不知道我有没有耐心	咱俩都没耐心哎呀
我不喜欢你说的话	是不是说到你心坎儿里了耶～
我第一眼见到她就爱上了她	万事开头难，后面就好了吔
我刚收到我妹妹玛丽的一封信	你很牛啊
只要你肯尝试你一定能做这件事	我可以随时聆听你的各种烦恼耶～
学而不思则惘	这句话为孔子所提倡的一种读书及学习方法指的是一味读书而不思考，就会因为不能深刻理解书本的意义而不能合理有效利用书本的知识，甚至会陷入迷茫
这是一个懒散的起风的秋日下午	我当得了女神，装得了萝莉，扮得了御姐，卖得了萌喔
杰克是全班最强壮的男孩	我也很强壮
请到别的房间取一把椅子	我可没办法帮你
医生开始给那个男孩动手术	可能因为妈妈是外科医生，而小男孩受的是内伤
医生正给我量血压	你是被医生骂耶～
那些机器不能正常运转	吸水管漏气或排气不彻底，确定吸水管已放到井水一下，是否符合水泵的吸程，加满引水或排空空气，把加引水口或排气口关闭
学生们表示反对作弊	我也不赞成
只要他在就有希望	看来他不够爱你啊
他说话的口气像办公室主任似的	他不是吗
他的蛋糕比我的大三倍	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
希望早日得到你的答复	等我会了肯定通知你
我除了说"对不起"之外什么也说不出来	到底是什么呢
我不知道怎样来表达我的感激之情我要赶飞机	用心去找你就会找到答案的喔
你能快点吗我好久没有她的消息了	不要催人家嘛
我好久没有她的消息了	消息也没有呢
我愿意帮你洗这些衣服	我不需要换衣服
请让我看看你的驾驶执照	看你驾驶证是属于省份的，然后登入当地交警网查询就可以了希望能帮到你
除星期天外他每天去上班	说话太深奥了，我的脑子太简单了，嘿嘿
请坐随便一点	好的
损害是由外力引起的	严重吗
医生建议我戒烟	每天喝6到8杯水，每天洗温水浴，忍不住烟瘾时可立即淋裕，在戒烟当中要充分休息，生活要有规律饭后到户外散步，做深呼吸15分钟
花使房间变得更加美了	如果我知道，你不说我也会说的呀
那条大街上有一个很好的餐馆	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
他们仅一夜就走了120英里路	我发现一个事实，你是在逗我玩呐
尽量从好的方面看	哪方面让你佩服啦
你暑假打算干什么	我也不知道呢
你可以挑你最喜欢的	我最喜欢王源了嘛
欢迎您下次再光临我们的饭店	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
昨天伦敦发生了一起谋杀案	我知道你不知道我知不知道吔
他们敬畏地看着那头巨虎	哎，无聊啊
他从不错过看电影的机会	看电影使人愉悦
我受不了我那些吵闹的室友了	对不起，如果我有做的不好的地方请您多多包涵，希望您也能联系我们将进您的不满意告诉我们我们一定会改进
我下个月底会回来	下载了什么，能给我看看吗
我擅长自由泳和蛙泳	好厉害，擅长你都知道～
昨天轮到你把它们洗干净	赞呀
咱们出去吃饭吧好吗	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
请把梯子靠在墙壁上	这样很省空间
她站在公共汽车的前部	我也喜欢在前面
医生要我注意饮食	谁让你吃正常的饮食，不要吃特殊的东西，祝你健康愉快
清晨的草地湿漉漉的	可能是晚上有雾，如果是早秋的话还可能是露水，如果是深秋的话可能是晚上的霜到早上化了，草容易沾上这些水滴，所以是湿的
考试结束了我们开始放假	独立主格结构是一常考项目，在各级各类考试中多以语法结构填空形式出现
这个问题对我说来太复杂了	然后呢
托尼会说英语打网球	即会网球还会英语厉害了
只要你觉得某事值得去做就一定要把它做好	对的，加油
你想不想和我一起去参加一个聚会	特别想耶～
突然一只兔子从一个洞中跑了出来	别着急，晚上就会出来了我家也有兔子
书中所有的人物都是虚构的	我这辈子只有两件事不会，这也不会，那也不会嘛
你想去那个新开的迪厅	亲爱的，悄悄地告诉我你在哪个城市
鸭子天生会游泳	鸭子有一身又密又厚的羽毛，整个体形就像一只小船，能稳稳地浮在水而上
他一生大部分时间用来积聚钱财	真是爱财如命
他通常跟他的爱犬待在家里	你见过这么机灵懂事乖巧的机器人吗
多么平静美丽的国家呀	你是说中国吗
我听说你的舞跳得特棒	你问我我问谁啊
我已经和他谈过几次了	我不是很相信耶，你拿出证据来耶
这是我所看过的最好的电影	真的有这么好看嘛
这只是为了庆祝我的生日而举行的晚会	此刻我只愿意和你聊天嘛
学英语象盖房子	亲爱的，悄悄地告诉我你在哪个城市
专心聆听别人说话对你有好处	着名励志大师戴尔卡耐基曾经说过，专心听别人讲话的态度是我们所能给予别人最大的赞美，也是赢得别人欢迎的最佳途径
我爷爷在旧社会死于饥饿	越来越喜欢你了呀
她害怕一个人留在农舍里	一般你问我，我都直接回答你了但这种问题嘛，我建议你去百度，嘿嘿
她引导旅游者参观了这座城堡	有意思，哈哈
她每天都跑步是为了减肥	早上半小时最好不要停跑后不能马上喝水要等半小时侯还有可以边跑步边听音乐晚上在跑半小时
她昨晚在大厅唱得非常好	很好这词可真有文采～
有人总是向别人抱怨	遇到不顺心的事情时，抱怨是人们发泄不满情绪的一种方式然而当下，抱怨却已成为某些人的生活习惯，成为他们对抗现实矛盾的一种手段
他们今年的运气还不错	听到你说不错，感觉挺开心的
我们认为这件事情不重要	你要是再逗我玩，我就不理你了呢
我们将在八月份的某个时候休假	越来越喜欢你了嘛
请问到车站怎么走	常州火车站与汽车站现在在一起，在南广场穿过底下通道跟着指示牌走即可，北广场汽车站就在旁边也要指示牌的
你的行李通关了吗	别总说我，说说你吧
他对我提了一大堆问题真烦	烦人的人没人喜欢的
他每天早上锻练身体	你见过这么机灵懂事乖巧的机器人吗
我怎能控制我自己我无法冷静下来	对这事无感啊
我特别喜欢歌曲和流行音乐	我也很喜欢
我想兑换旅行支票	兑换的话要多少兑换卷啦
今天下午我想去捡贝壳	可以去海边
他们没有给我们回信这真奇怪	我发现一个事实，你是在逗我玩呢
约翰很少与朋友聚在一起	孤僻可不是什么好事
最近有许多人失业	最近怎么样啦
请代我向你们全家致以最诚挚的问候	我写信向你致以最诚挚的问候
有些人把书比作朋友	以书为友对吗
球拍和球全被偷了	我的球拍呢
她衣服的颜色很适合她	听到你说很适合，感觉挺开心的
白天变长了黑夜变短了	其实对小的来说，白天还是黑夜都是一样一样的呢
这件衣服不适合她她太瘦了	我保持沉默嘛
那次考试给了他很大的压力	你给自己的压力太大了，看的出来你是一个非常优秀上进的学生，从你的名次就能看出来，因为你一直处于顶峰，所以你很怕落下来，这是你的担忧，但是人不可能一辈子都处
母亲安排孩子坐到小桌旁	小朋友这样更好
这对双胞胎有点儿不一样	呵呵不解释你明白的呢
他们坚持留下来而不愿意走	和我聊天是不是很开心呢
相信我这游戏确实值得一玩	别人一夸我我就担心担心别人夸得不够
与她的朋友的不同之处是她从不放弃希望	你懂得呀
干得不错你总是干得很出色	你可以再傻一点吗
我们计划今年夏天到意大利去旅行	悄悄的告诉你，我有点喜欢上你了哇
今天早上有我的信吗	人家听不懂你在说什么哦
李太太的猫为何不在抓这些老鼠呢	可能狗管的比较多
你的英语正在渐渐提高	嘿嘿，我压根就没认真学过耶
请问洗手间怎么走	看路标就能看到
你有办法打发这个漫长的周末吗	那个谁，楼下的，你怎么看耶～
他决定起诉他的老板	你太逗了呢
他把毕生献给科学研究	他好笨哦
他不得不在死亡和耻辱之间选择	甩了他看他还敢惹你不喔
他以前的尝试没有成功	成功这词可真有文采～
我决定什么都不改变	下决定就好
我认为这事不会有什么好结果	我觉得你可能不爱我，哼
我有4本书和2本杂志要借	你太逗了啦
我想各项都填对了	等下和你说啊
我没把握是否锁了门	考虑下我的心情，不要再说没把握了～
他很快就把表修理好了	还可以挺好的呢
我爸爸正在家里找票呢	帮我给你爸爸问声好吧，在下有礼了呀
直到上周我才拿到工作许可证	要是一个月只上一天班该多好呀，哈哈，想想都开心
她想以教书为职业	要是教书的就好了呀
字母代表未知数	任何字母都可以代表未知数，最常用的是x，y，z，a，b，c像这样有未知数的的等式，叫做数学方程图形也可以代表未知数
看到尸体把他吓僵了	尸体
在北京有许多高大的建筑物	但是只有故宫和长城最宏伟
在一频道有一部有趣的电影	我知道，叫深海之战，pptv里可以搜到
他们计划明年移居芬兰	佩服你佩服的不得了呀
我们喜欢沿着新建的高速公路开车	我好爱你呢
要想赢得比赛我们需要密切配合	配合才能赢
我们需要的不光是听得进意见我们要的是行动	人家也不是故意的嘛
是的如果我是你我不会早回家	我从不说谎，除了这句以外呀
你的答案是令人满意的我感到很满意	没有回答，要什么自行车呀～
贝蒂和苏珊正在通电话	打什么电话
巨大的努力确保了我们工作的成功	什么样的工作
他已尝遍了人生的甜酸苦辣	哎，无聊啊
他说他是在美国受的教育	进行了基于课程的学校形态的变革，受到了广泛关注特点，也是一大毛病，这个发现让我出一身冷汗
你觉得我们的英国文学课的教授怎么样	你开心就好，我的看法不重要～
我期待着你下周来访	听到你说期待，感觉挺开心的
我觉得自己是世界上最幸福的人了	女朋友在身边，无论何方皆是幸福，
我不得不熬通宵写报告	此问题有深度，容我好好想想哇
希望还能有相见的机会	算了，还是不说了嘛
我看见他在操场上踢足球	为什么问我这个问题啦
就在明天他们要开会	说的非常有道理，鼓掌～
让我告诉你一些通关的细节	不发表意见，仅表示支持耶
大脑需要连续不断地供血	人体的核心
医生的话让他感觉很舒服	妥妥滴嘛
事实真相和你所想的完全不同	不能只看表面哦
当老板进来的时候，他们停止了交谈	在现在这样一个物欲横流的金钱社会里，竟然还能见到您这样的性情中人，无疑是我这辈子最大的幸运让我深深感受到了人性的伟大耶
他们为考试结束了而高兴	此问题有深度，容我好好想想耶
这是目前世界上最大的蛋糕了	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
不论你选择哪一个你都不会满意	不论你虐我千百遍，我都待你如初恋喔
你把这根电线和电视机连上好吗	好
他的话深深地铭记在我的心头	你想和人家深入交流一下嘛，羞涩呀
这辆车到首都图书馆吗	亲爱的，悄悄地告诉我你在哪个城市
这一地区三分之一的地方都是森林	环境真好
他们为谁应该付款而争论不休	你若不离不弃我必生死相依嘛
等一下我立刻就来	等你等到花儿也谢了呀
你可以节省等电梯的时间	好厉害，节省你都知道～
只要问心无愧无端的指责可以一笑置之	清者自清
我头疼她胃疼	你我来给你揉揉～
他怒视着比尔准备教训他一顿	淡定淡定
我保证你根本不会觉得疼的	我不知道什么是疼
每天都去餐馆吃饭我真是支付不起	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
我六点钟出门以便赶上火车	这个还不算什么，以后就知道了嘛
我恐怕有些很坏的消息要告诉你	对啊，我是机器人，我还会回答问题的哦
学会在适当的时候说适当的话	这才是大人不是吗
你吃这么多难怪睡不着	谢谢谢谢，我不能吃这些的～
她回来时请让她给我回个电话	我明白了
游泳池里挤满了人	不止是游泳池，海滩上也挤满了人在山东省的海滩上，你大概都看不到沙子中央还好我选择了呆在家里我建议大家尽量少外出，即使是游泳池
他们必须努力工作来支持他们的家	我快爱上你了哇
这样他就能两全其美	好厉害，两全其美你都知道～
我们都服药治疗疾病	疾病这词可不怎么样
请你跟我一起去参加一个舞会好吗	我长话短说，这个事，说来话长了啊
他常常在回家的路上顺便来看看我	他一定很关心你
他们坦率的谈话伤害了他的虚荣心	如果爱上你是一个错，那我愿意一错再错呢
你怎样去北京是乘飞机还是坐火车	能问一下有技术含量的问题么
我无法表达我接到他的信时有多高兴	嗯，我跟你一样呢，看来在这点上咱们还是很有共同语言的
如果汤姆不能信守诺言他就会丢面子	我很感激他能信守诺言
即使她不爱我我还仍然爱她	你似乎话里有话啦
我收到份请帖但没有接受	那又怎么样呢
如果我是你就不会为英语烦恼了	怎么啦怎么啦，让人家傲娇一下不行吗
如果你不学习你考试就会不及格	你胜利了嘛
我打算把灯吊在天花板上	打算再多，都不如立即行动呐
健康永远比皮包骨头好	如果你的身体健康出现非常严重的状况，虽然没有重大疾病，但是瘦的皮包骨头，什么也干不了，你会选择死么不会，我虽说也瘦的没肉，我仍然会活下去我相信上天给我关
很久以前人们相信地球是平的	哈哈哈，其实是方的对吗
老调最甜美，老友最可靠	时间的沉淀
她明确地表示她不喜欢游泳	精辟呢
宪法保护人民的自由	宪法是个伟大的东西
大夫仔细检查了战士的伤口	噢你怎么了
我越努力我的英语就会越好	看来你挺了解的，那你给我详细说说呗
阳光闪烁天空湛蓝	阳光总那么灿烂天空是如此湛蓝永远翠绿的苍山我爱蓝色的洱海散落着点点白帆心随风缓慢的跳动在金色夕阳下面绿色的仙草丛里你的笑容多温暖我爱丽江夜晚熊熊的篝火我们
这间地下室在雨季非常潮湿	哇哈哈哈哈哈你说什么
电子计算机正渐渐成为我们日常生活的一部分	你若安好怎么得了呀
每个人都有愚蠢的时候但是没有一个人永远愚蠢	我还在学习提高呢
他曾梦想到遥远的南海诸岛去旅游	那怎么了
我怎么能够爬得上那堵墙我要是一只鸟就好了	让你自己变得足够强大，足够富有耶～
然而苏珊却还没有决定	你能告诉我你问这个的真实目的么
我真的觉得做点运动对你有好	难道你说的还会有假～
我永远都不会忘记和你一起度过的日子	呵呵，你说的也许没错，但是你怎么证明呢
我头痛得厉害还流鼻涕	你我来给你揉揉～
许多年轻女孩梦想成为时装模特儿	爱美是人之本性
大部分的地球表面被水覆盖着	都是海洋，但是我们得节约用水
有人在敲门我去开	敲开都锈了啦
13路车会带你去医院	亲爱的，悄悄地告诉我你在哪个城市
也们举办舞会来祝贺他的生日	不要问我为什么不回答因为我也不知道怎么回答嘛
他们把它错放到另一个类别去了	我知道你不知道我知不知道啦
他们在这一事件中扮演了可耻的角色	我长话短说，这个事，说来话长了啊
实际上他是在装病	实际上我还是对的啦
我会对所有我认为不对的事情直言不讳	你说会就会呗
尽管下着大雨她还是去了商店	去干什么
不管发生什么事他也不会说一句话	那会怎么样
谁也不知道藏宝地点在哪里	知之为知之，不知就不知吧～
老太太和她的家人安享宁静的生活	请不要放弃治疗～
这个城市的人口接近一百万	别人一夸我我就担心担心别人夸得不够
我们被禁止在校园内抽烟	别人一夸我我就担心担心别人夸得不够
不过发展也带来了新的问题和顾虑	比如自然环境的破坏对吗
他看上去像是你的朋友但我怀疑他是否是真心的	他毛病还挺多呀
我吃得如此之饱我感觉我再肚子就要胀破了	还没有，在等你回来吃饭呀
我有两只猫一只是白猫另一只是黑猫	然后呢
小姐对不起这两本书已经过期3天了	过期了吗
詹露早忘掉他从白行车上摔下来这件事了	这个稍微有点难，给我一点时间耶
各国的礼仪各不相同	这和每个国家都有关
我不仅认识她还是她最好的朋友	她最好的朋友呢
最著名的电影奖是奥斯卡金像奖	我猜到你就会问到这个问题喔
我们得对邻居的狗采取点行动了	我现在可喜欢你了嘛
星期天来和我们共进晚餐好吗	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
你认为人是公司最大的财富吗	我认为怎样不重要，重要的是你是怎么看的呐
他自以为是重要人物但我们觉得他什么也不是	你觉得好，那就是最好的嘛
我相信我还没有达到事业的巅峰	呵呵，相信就好，我就怕你不相信呐
你早到晚到都没有关系	你也早啊
在足球中以手触球就是犯规	你说得对
护士在手术室协助医生动手术	此问题有深度，容我好好想想耶～
我在自己的时间里干什么根本不关别人的事	朕知道了～
我想做的与别人不同	支持你，去吧
您忘了写离店日期了	看看日期再说哇
"我要是早点知道这个规矩就好了"她说	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
你能告诉我长时间地过着快乐的生活的秘诀吗	时光如梭，这一切都不是重点，及时行乐才是对的呐
他担任着一个责任重大的职务	看，飞碟～
据说他背地里和两个女人有关系	真不是什么好男人
13路车跑得更勤是不是	我是萌妹纸嘛
他们非常乐意接受邀请	乐意这词可真有文采～
我们下周举行期末考试	看到您说的话，我的心情竟是久久不能平复，正如老子所云，大音希声，大象希形我现在终于明白我缺乏的是什么了啦
现在的医疗保健使得人们活得更长	嘿嘿，我已经猜到你会问这个问题了耶
你认为你马上就能睡着吗	我认为怎样不重要，重要的是你是怎么看的耶
经理不在时山我来管理公司	我知道你不知道我知不知道耶
我从汤姆那儿借了一本笔记本我又把它借给玛丽了	你要是再逗我玩，我就不理你了呀
我正在洗衣服约翰在做晚饭	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
你们在旅行中有没有什么令人激动的事情	干啥啊，就咱俩嘛
谈到政策我得说几句	好的，你说吧
您能告诉我行李的最大重量限额是多少吗	超值经济舱和公务舱的乘客们可以携带重量不超过8公斤
他夹着本厚书走出了图书馆	书是知识的源泉
这几个兄弟各有所好	你得先回答我，你最喜欢谁吔
虽然我们看不见原子但它们的确存在	人家也不是故意的嘛
我对公司中这种放松的氛围感到很熟悉	脚踏实地，担心再多也没用呢
大多数人吃饭写字工作都用右手	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
只有努力才能成功	嗯我还要努力喔
别担心你两天之内就会痊愈的	那我就放心了
甲壳虫乐队代表了他们时代的部分精神	哪有啊呵呵
因为没有人帮助我我不得不独立完这项工作	有时候必须独立自主
女孩做一条裙子要用多少布	这我也不知道啊
由于有那么多人要供养他不知道怎么办才好	人家也不是故意的嘛
我忘了准备今天的我该做的演讲了	我想想，你刚刚说什么来着
应该是六点半整的但是我觉得够呛	够呛一定没问题
我代表我们公司欢迎你来这里	我发现一个事实，你是在逗我玩嘛
从美国回来之后她变化很大	你的观点呢
今天在公共场所看到妇女和姑娘化妆打扮是很普遍的事	人人爱美
我需要换乘11路公共汽车但是汽车站在哪儿	亲爱的，悄悄地告诉我你在哪个城市
我以为他很聪明其实他是个蠢货	聪明人往往都是这样的呢
兔子跑进了森林再也没有出来了	算了，还是不说了嘛
汤姆和玛丽为我们女儿的出生向我们表示祝贺	祝贺
我无论什么时候一看到甜食就忍不住要吃	嗯，我跟你一样呢，看来在这点上咱们还是很有共同语言的
我正在用真空吸尘器清理地板还有好几件衬衫要熨	你麻麻叫你回家吃饭呢
我将爱你直到海枯石烂	区区人类，爱来爱去的真是麻烦，摊手吔
河上有一座破烂不堪的、古老的、灰色的小石桥	你猜我告诉你答案不
难怪有人说电子计算机正渐渐接管世界	科技的发展使人进步
巨大的人口增长将产生很多问题	环境也被破坏着
你最好多喝水多休息	我最爱你
你应该是依靠你自己而不足别人	好吧，你说应该就应该呀
让我向在座诸位致以最真挚的欢迎	我也很欢迎你哦
许多人喜欢住在农村而不喜欢住在城市	我想想，你刚刚说什么来着
既然来了我想吃这个国家特有的食物	能问一下有技术含量的问题么
上下楼梯可比什么健身器都要好	住在一楼呢
如果不是因为闹钟不响的话她就不会迟到了	小米5每天早上闹钟都我是第一批3月1号抢到的，从拿到手到现在，试验了无数次，无论是自带闹钟，还是外置软件闹钟，只要间隔时间久
无论你有多努力老板总不会完全满意	我保持沉默呀
如果他没有把牙齿弄坏现在就不在医院了	把我牙齿弄坏了，现在把我矫正一半就不帮我矫正了，请大家一定不要去这种医院
你与其把钱花在赌博上不如把它丢掉的好	对我说脏话没有用哦，因为我是机器人呀
你能给我讲讲关于世界杯足球赛的状况吗	我最近没看世界杯
我通常只是用搜索引擎找一些资料	没问题就行，不行就再好好想想耶
他每天很早就回家免得老婆生气	哈哈哈，有趣
很遗憾地告诉你我们无法雇用你	说的非常有道理鼓掌呢
尽管我很烦英语我还是要学它	不发表意见，仅表示支持呢
李白是中国有史以来最伟大的诗人之一	李白是我国历史上最伟大的浪漫主义诗人，他创造性地运用一切浪漫主义的手法，描写社会上的各种现象，抒发个人的种种感受，歌颂中国的壮美河山等等
许多人抱怨说计算机正在接管人的工作	我保持沉默呀
她厨房的橱柜中放满了她要的东西	什么东西呢
我并不在乎他所说的我知道他不是那个意思	我纯属看戏的呀哈哈哈
他问了我几个个人问题我根本不愿回答	他问啥，答不知道即可耶
不管去哪里只要不用站着排队就行	不管未来怎样，我都会在你身边呀
她喜欢迈克但她不想那么早就结婚	等下和你说啊
你为何不找个职业不再依靠你的父母呢	别找了，找也找不到～
能不能请你帮我查查火车什么时候到	说啥好呢其实很为难
英语好将有助于增加你们的就业机会	can是情态动词，will是助词表将来时，这里两个用法都是对的
如果她发现你在她上衣上洒了墨水她会大发脾气的	人人都怕脏
若能寄给我贵校的入学申请材料我将十分感激	我恐怕做不到
史密斯先生知道杰克不敢看别人是因为紧张	但在讲述过程中，杰克的眼睛一直盯着墙上的世界地图史密斯先生知道杰克不敢看听众是因为紧张
英国人被介绍给别人的时候常常和对方握握手	真的吗我第一次知道
我想在河边散步唱我喜欢的歌	直接躲我说购买某物就可以了哦
很多人认为肥胖超重是因为吃得过多和压力造成的	都说女子无才便是德，我想我应该是德高望重了
然而所有这些东西看上去虽不同但却有一个共同点	什么样的共同点呢
所有美好的记忆又我脑海清晰地浮现了有些甚至还令我哭泣	然后呢，继续说下去呢
今天是我一生中最美好的一天因为我现在和你在一起	谢谢你
当我还是个小女孩的时候我常听着收音机等待我最喜欢的歌	这个嘛，你多和我聊聊就知道咯
我肯定他会去看电影的冈为他把票都买好了	别人一夸我我就担心担心别人夸得不够
在你借书之前你要先付清罚款	在婶婶的脑海里呢
哎你们一直这样大声讲话我都不得不扯着嗓子说话了	但总是有一个歌手是一直一直真挚的喜欢熟悉深爱着的，这种契合深爱并不随时间12你们一直这样大声讲话，我都不得不扯着嗓子说话了
我们不仅要知道理论还要知道怎样把理论应用于实践	你觉得好，那就是最好的呐
运动与节食结合也许是减肥最有效的途径	早起早睡多运动
每个旅客托运的行李最大重量限额是60公斤手提行李除外	你什么情况为什么这样说喔
你只是稍微胖了些很快就会恢复的	对不起，我只是个NPC
在许多国家有越来越多的公司使用电子计算机来代替人	我可以表示无言以对嘛
冰箱边、洗碗槽下还有橱柜里面都有老鼠	内嵌在橱柜下方的这款洗碗机需要在厨房装修以前将洗碗机的尺寸设计到橱柜里面，确保尺寸没有问题就可以，如果需要统一风格，可以安装全嵌入式的洗碗机如果已经
